Date,Open,High,Low,Close,Volume
2020-12-23,219.212,219.639,216.929,217.148,19033072.117307
2020-12-24,217.545,219.689,217.326,218.855,10738699.012107
2020-12-28,220.504,222.071,219.123,221.01,18253267.483138
2020-12-29,222.35,223.214,219.659,220.205,17713529.654618
2020-12-30,221.277,221.674,217.595,217.802,20633812.959269
2020-12-31,217.822,219.104,215.838,218.528,21315552.121483
2021-01-04,218.637,219.104,211.052,213.881,37792207.390195
2021-01-05,213.464,214.686,211.916,214.08,24247740.555895
2021-01-06,208.461,212.7,208.233,208.53,36571332.757324
2021-01-07,210.287,215.5,209.96,214.458,28188301.237184
2021-01-08,214.845,216.711,213.236,215.778,23365538.106672
2021-01-11,214.636,215.073,212.939,213.683,23457980.900368
2021-01-12,212.71,213.306,209.572,211.171,23663895.626776
2021-01-13,210.267,212.969,210.179,212.552,20445253.794734
2021-01-14,212.124,213.653,209.007,209.275,29870018.920386
2021-01-15,209.771,210.754,208.322,208.917,32312585.096208
2021-01-19,209.999,213.186,208.897,212.65,31024365.242458
2021-01-20,213.891,221.834,213.494,220.394,38450868.590827
2021-01-21,220.751,222.34,218.528,221.02,31297848.807547
2021-01-22,223.114,226.033,221.844,221.991,30710672.779001
2021-01-25,225.09,225.745,220.274,225.497,33743230.351647
2021-01-26,227.81,230.073,226.043,228.267,50046344.103646
2021-01-27,233.826,236.228,226.103,228.812,71116503.891006
2021-01-28,231.483,238.383,230.966,234.749,49986860.760912
2021-01-29,231.86,233.846,227.303,227.91,43261012.424813
2021-02-01,230.936,238.244,228.365,235.454,33908218.991059
2021-02-02,237.082,238.055,234.511,235.315,26378451.560475
2021-02-03,235.375,240.804,235.068,238.74,27642362.54744
2021-02-04,238.403,238.979,236.158,237.758,25747154.329307
2021-02-05,237.975,239.018,236.208,237.946,18376687.386196
2021-02-08,238.889,239.415,236.595,238.214,22607991.502144
2021-02-09,237.628,240.477,237.162,239.504,23985140.731145
2021-02-10,240.717,241.6,236.675,238.562,22582316.753649
2021-02-11,240.497,240.864,237.897,240.21,16031915.722018
2021-02-12,239.664,241.004,238.472,240.707,16856379.450279
2021-02-16,240.717,241.808,238.66,239.435,27205083.978505
2021-02-17,237.638,240.587,237.261,240.477,22008872.066916
2021-02-18,238.105,240.21,237.192,240.08,17187775.997049
2021-02-19,240.041,240.15,236.516,237.291,25653971.179373
2021-02-22,233.796,234.303,228.852,230.926,37011576.78036
2021-02-23,226.807,231.245,225.239,229.716,30639033.491943
2021-02-24,226.5,231.612,225.497,230.966,26747804.710988
2021-02-25,228.545,230.996,224.415,225.487,40154827.179785
2021-02-26,227.998,231.781,226.033,228.832,38405127.670067
2021-03-01,232.307,233.846,229.597,233.319,25725296.192762
2021-03-02,233.389,233.677,229.885,230.292,23165872.591283
2021-03-03,228.614,230.014,223.799,224.096,34556716.661841
2021-03-04,223.273,228.942,220.831,223.273,45420715.17529
2021-03-05,226.013,229.716,223.015,228.068,42521468.060668
2021-03-08,227.85,229.815,223.67,223.928,35813809.320407
2021-03-09,229.329,231.791,228.137,230.202,33593019.625655
2021-03-10,233.379,233.379,228.505,228.872,30207654.605302
2021-03-11,231.373,235.524,230.729,233.508,30370917.761401
2021-03-12,230.432,232.228,229.676,232.159,23004614.944394
2021-03-15,231.373,231.592,228.277,231.225,26446126.164332
2021-03-16,232.684,236.388,232.346,234.084,28527404.539838
2021-03-17,232.556,234.918,229.676,233.419,30020079.560555
2021-03-18,229.012,230.609,226.817,227.204,35392187.019506
2021-03-19,227.503,228.932,225.844,226.837,47150041.290089
2021-03-22,226.757,233.28,226.629,232.396,30593735.77764
2021-03-23,233.866,237.37,233.449,233.955,32128521.455333
2021-03-24,234.223,234.371,231.732,231.87,26017036.841946
2021-03-25,231.712,233.319,228.048,228.792,34589545.165441
2021-03-26,228.028,233.091,228.028,232.873,25874590.287221
2021-03-29,232.972,233.181,228.346,231.652,25618281.979561
2021-03-30,229.964,230.272,227.582,228.317,25176092.884561
2021-03-31,229.359,235.454,228.842,232.179,44299292.041835
2021-04-01,234.838,239.137,234.421,238.65,30807981.778119
2021-04-05,239.057,246.146,238.998,245.283,37482434.282006
2021-04-06,243.833,245.6,243.109,244.081,23287187.263678
2021-04-07,244.032,247.1,243.416,246.086,23071814.108601
2021-04-08,248.916,250.266,248.152,249.392,23991201.579421
2021-04-09,249.015,252.073,248.588,251.944,24703708.335218
2021-04-12,250.822,253.741,250.732,252.004,27569259.671792
2021-04-13,253.324,255.241,252.907,254.545,24206763.097242
2021-04-14,253.542,254.882,251.269,251.696,23428356.577982
2021-04-15,253.998,255.965,253.801,255.548,26024505.878005
2021-04-16,255.518,257.017,253.671,256.768,25264004.899538
2021-04-19,256.223,257.483,253.89,254.794,23568820.791108
2021-04-20,253.89,256.233,252.917,254.327,20028425.174561
2021-04-21,254.991,256.71,253.324,256.61,24402665.386911
2021-04-22,256.243,257.782,251.746,253.244,26002847.184367
2021-04-23,253.949,257.513,253.344,257.166,21832356.030517
2021-04-26,257.663,258.427,256.203,257.553,20069522.500413
2021-04-27,257.583,259.171,256.153,257.97,31494689.88907
2021-04-28,252.162,252.619,249.095,250.673,47629748.818817
2021-04-29,251.567,252.182,245.213,248.658,41217834.695149
2021-04-30,245.928,249.224,245.789,248.33,31424503.11044
2021-05-03,249.542,250.475,247.278,248.013,19930625.62648
2021-05-04,247.14,247.367,242.007,244.012,33263513.757332
2021-05-05,245.273,245.7,242.066,242.701,22240623.715093
2021-05-06,242.681,246.047,240.964,245.918,26901488.56393
2021-05-07,248.3,250.425,247.328,248.608,27451709.232405
2021-05-10,247.04,247.883,243.346,243.406,29753808.173238
2021-05-11,240.824,242.831,238.87,242.463,34162769.582209
2021-05-12,238.472,240.657,234.441,235.355,37252689.150328
2021-05-13,238.105,241.847,237.728,239.327,30083242.524157
2021-05-14,241.827,245.382,241.738,244.369,24271360.438099
2021-05-17,242.781,242.821,239.813,241.441,25357008.752315
2021-05-18,242.503,242.642,239.197,239.375,20480420.212386
2021-05-19,236.198,240.08,235.504,239.971,26078354.455033
2021-05-20,240.794,244.736,240.697,243.277,22087453.578725
2021-05-21,244.349,245.113,241.56,241.987,22150616.542326
2021-05-24,244.568,247.893,244.3,247.516,21693166.035951
2021-05-25,248.499,249.472,247.556,248.449,17937161.559075
2021-05-26,248.162,249.661,247.487,248.221,18005343.835782
2021-05-27,247.903,248.211,246.017,246.077,24747514.256885
2021-05-28,247.735,248.807,246.325,246.434,18515307.256095
2021-06-01,247.963,248.022,243.753,244.19,23518627.660047
2021-06-02,244.906,246.037,242.642,244.091,19661955.887868
2021-06-03,242.036,243.138,239.852,242.513,25640575.264261
2021-06-04,244.548,248.38,244.3,247.526,25613608.166033
2021-06-07,246.732,250.792,246.563,250.525,23382720.415113
2021-06-08,251.845,252.679,249.234,249.293,22750341.357279
2021-06-09,250.525,252.202,249.929,250.306,18173562.845882
2021-06-10,250.812,254.118,250.385,253.9,24886697.200439
2021-06-11,254.634,255.131,253.274,254.545,19249628.835078
